parent_directory,is_file,name,size_in_bytes
F:\Deep_in_python\Home_Work,True,hw_1_task_2.py,1396
F:\Deep_in_python\Home_Work,True,hw_1_task_3.py,2650
F:\Deep_in_python\Home_Work,True,hw_2_task_2.py,1322
F:\Deep_in_python\Home_Work,True,hw_2_task_3.py,1801
F:\Deep_in_python\Home_Work,True,hw_3_task_1.py,796
F:\Deep_in_python\Home_Work,True,hw_3_task_2.py,5646
F:\Deep_in_python\Home_Work,True,hw_3_task_3.py,861
F:\Deep_in_python\Home_Work,True,hw_4_task_1.py,743
F:\Deep_in_python\Home_Work,True,hw_4_task_2.py,826
F:\Deep_in_python\Home_Work,True,hw_4_task_3.py,4272
F:\Deep_in_python\Home_Work,True,hw_5_task_1.py,2154
F:\Deep_in_python\Home_Work,True,hw_5_task_2.py,1129
F:\Deep_in_python\Home_Work,True,hw_5_task_3.py,1008
F:\Deep_in_python\Home_Work,True,hw_6_task_1.py,3318
F:\Deep_in_python\Home_Work,True,hw_6_task_2.py,2723
F:\Deep_in_python\Home_Work,True,hw_6_task_3.py,1975
F:\Deep_in_python\Home_Work,True,hw_7_task_1.py,7305
F:\Deep_in_python\Home_Work,True,hw_7_task_2.py,0
F:\Deep_in_python\Home_Work,True,hw_8_task_1.py,1361
F:\Deep_in_python\Home_Work,True,hw_9_task_1.py,2901
F:\Deep_in_python\Home_Work,False,HW_7_PACK,11483
F:\Deep_in_python\Home_Work\HW_7_PACK,True,start_hw_task.py,465
F:\Deep_in_python\Home_Work\HW_7_PACK,False,tasks_sem_and_hw,11018
F:\Deep_in_python\Home_Work\HW_7_PACK\tasks_sem_and_hw,True,hw_7_task_1.py,2437
F:\Deep_in_python\Home_Work\HW_7_PACK\tasks_sem_and_hw,True,Seminar_7_tasks.py,6465
F:\Deep_in_python\Home_Work\HW_7_PACK\tasks_sem_and_hw,True,__init__.py,0
F:\Deep_in_python\Home_Work\HW_7_PACK\tasks_sem_and_hw,False,__pycache__,2116
F:\Deep_in_python\Home_Work\HW_7_PACK\tasks_sem_and_hw\__pycache__,True,hw_7_task_1.cpython-311.pyc,1941
F:\Deep_in_python\Home_Work\HW_7_PACK\tasks_sem_and_hw\__pycache__,True,__init__.cpython-311.pyc,175
